4750.3530 1.0739e-11 3.1179e-13
4751.6030 1.1118e-11 6.9497e-14
4752.8530 1.1078e-11 7.7236e-14
4754.1030 1.1008e-11 6.4901e-14
4755.3530 1.0918e-11 6.8900e-14
4756.6030 1.0987e-11 7.0748e-14
4757.8530 1.1030e-11 7.4562e-14
4759.1030 1.0953e-11 7.7510e-14
4760.3530 1.0889e-11 7.0169e-14
4761.6030 1.0652e-11 6.9472e-14
4762.8530 1.0657e-11 7.4255e-14
4764.1030 1.0737e-11 6.8966e-14
4765.3530 1.0865e-11 8.2456e-14
4766.6030 1.0816e-11 7.3715e-14
4767.8530 1.0771e-11 6.9438e-14
4769.1030 1.0713e-11 7.5193e-14
4770.3530 1.0744e-11 7.6999e-14
4771.6030 1.0585e-11 6.8748e-14
4772.8530 1.0497e-11 8.1665e-14
4774.1030 1.0583e-11 6.9841e-14
4775.3530 1.0672e-11 7.2324e-14
4776.6030 1.0684e-11 7.2081e-14
4777.8530 1.0674e-11 7.0327e-14
4779.1030 1.0620e-11 7.3225e-14
4780.3530 1.0593e-11 8.5526e-14
4781.6030 1.0638e-11 8.8913e-14
4782.8530 1.0663e-11 8.6349e-14
4784.1030 1.0651e-11 6.8093e-14
4785.3530 1.0637e-11 7.0518e-14
4786.6030 1.0610e-11 7.1265e-14
4787.8530 1.0611e-11 7.8878e-14
4789.1030 1.0594e-11 7.1402e-14
4790.3530 1.0607e-11 7.6839e-14
4791.6030 1.0594e-11 7.8849e-14
4792.8530 1.0601e-11 7.9478e-14
4794.1030 1.0598e-11 8.4041e-14
4795.3530 1.0583e-11 8.1666e-14
4796.6030 1.0559e-11 7.7266e-14
4797.8530 1.0506e-11 7.1958e-14
4799.1030 1.0475e-11 6.9385e-14
4800.3530 1.0477e-11 7.6956e-14
4801.6030 1.0480e-11 8.4934e-14
4802.8530 1.0436e-11 7.7493e-14
4804.1030 1.0317e-11 7.2326e-14
4805.3530 1.0268e-11 7.3221e-14
4806.6030 1.0341e-11 8.2124e-14
4807.8530 1.0396e-11 7.2984e-14
4809.1030 1.0397e-11 6.9252e-14
4810.3530 1.0365e-11 6.3486e-14
4811.6030 1.0331e-11 7.6119e-14
4812.8530 1.0307e-11 7.3095e-14
4814.1030 1.0321e-11 6.9196e-14
4815.3530 1.0308e-11 7.0838e-14
4816.6030 1.0285e-11 7.2221e-14
4817.8530 1.0265e-11 7.3436e-14
4819.1030 1.0247e-11 7.0181e-14
4820.3530 1.0204e-11 7.4174e-14
4821.6030 1.0119e-11 6.5123e-14
4822.8530 9.9476e-12 7.4222e-14
4824.1030 9.8377e-12 7.6043e-14
4825.3530 9.8983e-12 8.1291e-14
4826.6030 9.9668e-12 6.9271e-14
4827.8530 9.9430e-12 7.9023e-14
4829.1030 9.9022e-12 7.4016e-14
4830.3530 9.8418e-12 7.0020e-14
4831.6030 9.7761e-12 7.0307e-14
4832.8530 9.7123e-12 7.5785e-14
4834.1030 9.6363e-12 6.5420e-14
4835.3530 9.5597e-12 6.6610e-14
4836.6030 9.4582e-12 6.9892e-14
4837.8530 9.3804e-12 6.9287e-14
4839.1030 9.2783e-12 6.1383e-14
4840.3530 9.1693e-12 6.3835e-14
4841.6030 9.0524e-12 6.5488e-14
4842.8530 8.9062e-12 7.0658e-14
4844.1030 8.7675e-12 6.4835e-14
4845.3530 8.5951e-12 6.8481e-14
4846.6030 8.3501e-12 5.7993e-14
4847.8530 8.0823e-12 5.3195e-14
4849.1030 7.8721e-12 5.7138e-14
4850.3530 7.7010e-12 5.9972e-14
4851.6030 7.4486e-12 5.8552e-14
4852.8530 7.1281e-12 5.7459e-14
4854.1030 6.7412e-12 5.0355e-14
4855.3530 6.3208e-12 5.0869e-14
4856.6030 5.8643e-12 4.8882e-14
4857.8530 5.3065e-12 4.6910e-14
4859.1030 4.5838e-12 4.3621e-14
4860.3530 3.8373e-12 3.6491e-14
4861.6030 3.6953e-12 3.4949e-14
4862.8530 4.2838e-12 4.1849e-14
4864.1030 5.0493e-12 4.3612e-14
4865.3530 5.6666e-12 4.7146e-14
4866.6030 6.1769e-12 4.6293e-14
4867.8530 6.6030e-12 4.5979e-14
4869.1030 6.9432e-12 4.8944e-14
4870.3530 7.1847e-12 5.3752e-14
4871.6030 7.4082e-12 4.7023e-14
4872.8530 7.6857e-12 6.0474e-14
4874.1030 7.9393e-12 5.5122e-14
4875.3530 8.1260e-12 6.0165e-14
4876.6030 8.2734e-12 5.4519e-14
4877.8530 8.4598e-12 5.4895e-14
4879.1030 8.6717e-12 6.8061e-14
4880.3530 8.8368e-12 6.1961e-14
4881.6030 8.9300e-12 6.8786e-14
4882.8530 8.9966e-12 6.7772e-14
4884.1030 9.0561e-12 6.6870e-14
4885.3530 9.1583e-12 6.8712e-14
4886.6030 9.2789e-12 6.5777e-14
4887.8530 9.3389e-12 6.7328e-14
4889.1030 9.3304e-12 7.4552e-14
4890.3530 9.2586e-12 6.3595e-14
4891.6030 9.2991e-12 5.7968e-14
4892.8530 9.5041e-12 6.5727e-14
4894.1030 9.6730e-12 7.0907e-14
4895.3530 9.7482e-12 6.6710e-14
4896.6030 9.7829e-12 7.1091e-14
4897.8530 9.7794e-12 5.7500e-14
4899.1030 9.7604e-12 6.5419e-14
4900.3530 9.7724e-12 6.7045e-14
4901.6030 9.8084e-12 7.8278e-14
4902.8530 9.8221e-12 6.5999e-14
4904.1030 9.8667e-12 6.7387e-14
4905.3530 9.8985e-12 8.2463e-14
4906.6030 9.9135e-12 9.7623e-14
4907.8530 9.9495e-12 7.1034e-14
4909.1030 9.8983e-12 6.8412e-14
4910.3530 9.8414e-12 7.3023e-14
4911.6030 9.8595e-12 7.1034e-14
4912.8530 9.9485e-12 7.4711e-14
4914.1030 1.0017e-11 7.5712e-14
4915.3530 1.0026e-11 8.2785e-14
4916.6030 9.9847e-12 8.2479e-14
4917.8530 9.8463e-12 7.1803e-14
4919.1030 9.6897e-12 6.7249e-14
4920.3530 9.6627e-12 6.4602e-14
4921.6030 9.6756e-12 6.6769e-14
4922.8530 9.5317e-12 7.1595e-14
4924.1030 9.4803e-12 7.4518e-14
4925.3530 9.7562e-12 7.7320e-14
4926.6030 1.0007e-11 7.6776e-14
4927.8530 1.0067e-11 8.2472e-14
