4750.3510 9.0321e-15 1.3444e-16
4751.6010 9.2171e-15 1.7869e-16
4752.8510 9.1116e-15 1.3160e-16
4754.1010 9.0764e-15 1.4030e-16
4755.3510 9.3078e-15 1.4568e-16
4756.6010 9.3031e-15 1.5083e-16
4757.8510 8.5689e-15 1.0591e-16
4759.1010 7.6297e-15 9.5282e-17
4760.3510 6.8822e-15 1.0720e-16
4761.6010 5.9430e-15 1.0564e-16
4762.8510 5.0053e-15 8.8964e-17
4764.1010 4.7695e-15 1.0061e-16
4765.3510 4.6735e-15 1.0142e-16
4766.6010 4.5083e-15 1.4190e-16
4767.8510 4.6708e-15 1.2138e-16
4769.1010 4.9725e-15 1.4362e-16
4770.3510 5.1855e-15 8.0393e-17
4771.6010 5.1940e-15 8.3981e-17
4772.8510 5.2289e-15 1.0039e-16
4774.1010 5.5174e-15 6.5142e-17
4775.3510 5.9926e-15 1.1250e-16
4776.6010 6.3236e-15 7.9089e-17
4777.8510 6.2429e-15 1.1135e-16
4779.1010 5.8859e-15 5.7588e-17
4780.3510 5.5450e-15 8.0145e-17
4781.6010 5.5393e-15 9.2966e-17
4782.8510 5.4768e-15 8.9048e-17
4784.1010 5.4746e-15 1.1057e-16
4785.3510 5.7759e-15 9.4370e-17
4786.6010 6.0006e-15 7.5282e-17
4787.8510 6.0515e-15 9.1201e-17
4789.1010 6.0457e-15 1.3711e-16
4790.3510 6.1088e-15 1.5330e-16
4791.6010 6.3311e-15 5.9944e-17
4792.8510 6.6465e-15 6.3522e-17
4794.1010 7.1453e-15 7.6541e-17
4795.3510 7.5381e-15 1.2701e-16
4796.6010 7.3597e-15 1.2522e-16
4797.8510 7.1155e-15 1.2091e-16
4799.1010 6.8151e-15 1.1024e-16
4800.3510 6.7825e-15 9.6551e-17
4801.6010 7.3264e-15 6.5420e-17
4802.8510 7.7179e-15 8.3886e-17
4804.1010 7.0847e-15 1.3731e-16
4805.3510 5.9431e-15 7.9051e-17
4806.6010 5.3552e-15 6.5568e-17
4807.8510 5.0934e-15 9.1998e-17
4809.1010 5.0095e-15 6.9309e-17
4810.3510 5.2505e-15 1.0469e-16
4811.6010 5.3664e-15 9.7674e-17
4812.8510 5.4572e-15 1.0948e-16
4814.1010 5.6825e-15 8.4398e-17
4815.3510 5.8627e-15 8.6282e-17
4816.6010 6.0315e-15 9.1624e-17
4817.8510 6.3284e-15 1.2367e-16
4819.1010 6.6959e-15 1.1923e-16
4820.3510 6.7910e-15 1.2170e-16
4821.6010 6.5977e-15 1.2948e-16
4822.8510 6.5268e-15 1.3321e-16
4824.1010 6.3171e-15 1.1187e-16
4825.3510 6.4828e-15 7.0675e-17
4826.6010 6.7819e-15 1.2571e-16
4827.8510 6.7147e-15 1.7478e-16
4829.1010 6.5827e-15 8.2473e-17
4830.3510 6.6968e-15 1.3590e-16
4831.6010 6.4386e-15 8.7647e-17
4832.8510 6.1337e-15 1.1136e-16
4834.1010 6.6827e-15 9.4219e-17
4835.3510 7.2877e-15 5.3352e-17
4836.6010 7.2489e-15 9.7201e-17
4837.8510 7.3506e-15 1.4944e-16
4839.1010 7.5340e-15 1.6400e-16
4840.3510 7.3811e-15 1.0225e-16
4841.6010 7.3408e-15 7.1114e-17
4842.8510 7.0440e-15 1.1445e-16
4844.1010 6.7641e-15 1.0839e-16
4845.3510 7.0896e-15 1.1513e-16
4846.6010 7.5615e-15 1.0682e-16
4847.8510 7.1188e-15 1.3491e-16
4849.1010 6.4558e-15 1.2041e-16
4850.3510 6.2383e-15 8.4853e-17
4851.6010 6.1750e-15 1.0242e-16
4852.8510 6.2981e-15 1.3589e-16
4854.1010 6.6312e-15 9.2918e-17
4855.3510 6.4645e-15 1.0912e-16
4856.6010 6.3441e-15 1.1107e-16
4857.8510 6.6204e-15 9.9398e-17
4859.1010 6.5846e-15 1.1021e-16
4860.3510 6.1849e-15 1.4553e-16
4861.6010 5.5746e-15 8.4135e-17
4862.8510 5.8176e-15 1.3742e-16
4864.1010 6.4775e-15 9.5386e-17
4865.3510 6.6532e-15 1.0138e-16
4866.6010 6.9100e-15 1.3709e-16
4867.8510 7.0126e-15 1.6476e-16
4869.1010 7.0868e-15 1.1594e-16
4870.3510 7.1425e-15 5.5186e-17
4871.6010 6.8564e-15 1.2318e-16
4872.8510 7.0279e-15 9.2292e-17
4874.1010 7.4973e-15 1.1566e-16
4875.3510 7.4652e-15 1.1780e-16
4876.6010 7.4970e-15 8.3620e-17
4877.8510 7.7005e-15 1.0729e-16
4879.1010 7.8667e-15 1.2447e-16
4880.3510 7.8583e-15 1.5356e-16
